HASHTAG,QUERYTYPE,CONCEPT1,CONCEPT2,SEGMENTED HASHTAG,HEAD CONCEPT
1000placestoseebeforeyoudie,Y,Best places,,1000 places to see before you die,places
100ideasoffice,N,,,100 ideas office,ideas
100mostbeautifulpinays,Y,Beautiful,,100 most beautiful pinay s,100
1017squad,N,,,1017squad,1017squad
101amazingfactsbymhqamazing,N,,,101amazingfactsbymhq amazing,101amazingfactsbymhq
101daysofsmiles,N,,,101 days of smiles,days
101top,N,,,101top,101top
101x,N,,,101x,101x
101years,N,,,101 years,years
10babygiftideas,Y,children,Gift Ideas,10 baby gift ideas,baby
10reasonswhypeoplefollowbrands,Y,brands,,10 reasons why people follow brands,reasons
15unspokenrulesofcourtesy,Y,rules,,15 unspoken rules of courtesy,rules
1800577tips,N,,,1800577tips,1800577tips
1millndeproblemas,N,,,1millnde problem as,as
1movieintheworld,N,,,1 movie in the world,movie
1ofmy99problemsis,N,,,1ofmy99 problems is,is
1yearsinceproblem,N,,,1 year since problem,year
2018winterolumpics,N,,,2018winterolumpics,2018winterolumpics
21picsofharryfrommycameraroll,Y,camera roll,,21 pics of harry from my camera roll,pics
2kproblems,N,,,2k problems,problems
365pics,N,,,365pics,365pics
3bestwordsever,Y,Best Words,,3 best words ever,3
46thboxofficeentertainmentawards2015,N,,,46th box office entertainment awards 2015,office
4bestwordsever,Y,Best Words,,4 best words ever,4
50facts,N,,,50 facts,facts
50factsaboutme,Y,about me,,50 facts about me,facts
50favpicsofcalumrt,N,,,50favpicsofcalumrt,50favpicsofcalumrt
50favpicsofpesy,N,,,50favpicsofpesy,50favpicsofpesy
50greatestbandsandartists,Y,bands,artists,50 greatest bands and artists,50
55millionsbeliebersintheworld,N,,,55millionsbeliebers in the world,55millionsbeliebers
5secondsofsummerbestbandmtvawards,N,,,5 seconds of summer best band mtv awards,seconds
5starcriminals,Y,Criminals,,5 star criminals,star
5thingsmybosssays,Y,Boss,,5 things my boss says,things
6thgoldenscreentvawards,N,,,6th golden screen tv awards,screen
6wordacceptancespeech,Y,acceptance speech,,6word acceptance speech,speech
7thgradeconfession,Y,confessions,,7th grade confession,confession
80smemories,Y,80s,memories,80s memories,memories
8daysuntilproblem,N,,,8 days until problem,days
90sinsults,Y,90s,insult,90s insults,insults
90stvshows,Y,90s,tv show,90stv shows,shows
90svideosbelike,Y,90s,video,90s videos be like,videos
a101qa,N,,,a101qa,a101qa
a90sbabyknows,Y,90s,,a90s baby knows,knows
aatoptenreviews,N,,,aa top ten reviews,aa
acmawardshttpstcoek0edbuu41,N,,,acm awards httpstcoek0edbuu41,acm
adventuresinbabysitting,Y,babysitting,,adventures in babysitting,adventures
advertisingtips,Y,Advertising tips,,advertising tips,tips
advicefory,N,,,advice for y,advice
africanlivesmatter,Y,African Lives,,african lives matter,matter
africanparentsbelike,Y,african parents,,african parents be like,parents
ahlanawardshttptcofvfbzxwjiw,N,,,ahl an award shttptcofvfbzxwjiw,ahl
akitakajofacts,N,,,akita kaj of acts,kaj
allblacklivesmatter,Y,Blacks,,all black lives matter,matter
allkpopawardshttptcokslwiahcwr,N,,,all kpop awards httptcokslwiahcwr,kpop
allpics,N,,,all pics,pics
americainfivewords,Y,america,,america in five words,america
americanhorrorstorys,Y,america,stories,american horror story s,s
annoyyourpartnerin5words,Y,annoy,,annoy your partner in 5 words,annoy
ant101uwl,N,,,ant101uwl,ant101uwl
antiterroriststrategy,Y,terrorism,,antiterrorist strategy,strategy
appleosx1011,N,,,apple osx1011,apple
artistsyoucantdislike,Y,artist,,artists you cant dislike,artists
asatadinersawards,N,,,as at a diners awards,awards
awardwinningmorningrush,N,,,award winning morning rush,rush
backwheniwaslittle,Y,children,,back when i was little,back
bakasyonproblemsbad,N,,,baka syon problems bad,baka
bandsthatareperfect,Y,bands,perfect,bands that are perfect,bands
bdubsproblems,N,,,b dubs problems,dubs
bebtips,N,,,be b tips,tips
bestbirthdaypresentever,Y,Birthday,Gift Ideas,best birthday present ever,present
bestcityintheworld,Y,city,,best city in the world,best
bestcomplimentever,Y,compliment,,best compliment ever,compliment
bestfeelingintheworld,Y,best feeling,,best feeling in the world,best
bestofbengaluru,Y,bengaluru,,best of bengal uru,best
bestplaceonearth,Y,Best Places,,best place on earth,best
bestplacestoswim,Y,Best Places,,best places to swim,places
bestplayerintheworld,Y,best player,,best player in the world,best
betawardsbeyonc,N,,,bet awards be y on c,bet
betterpics,N,,,better pics,pics
bibletruths,Y,bible,,bible truths,truths
birthdaypartywishlists,Y,birthday,party,birthday party wishlists,wishlists
birthdaywishlists,Y,birthday,wishlist,birthday wishlists,wishlists
blackcelebsbelike,Y,Blacks,,black celebs be like,celebs
blackgirlsfamouslines,Y,blacks,women,black girls famous lines,girls
blackmomscatchphrase,Y,Blacks,,black moms catchphrase,catchphrase
blacktranslivesmatter,Y,blacks,,black trans lives matter,lives
blackwomeninhollywood,Y,blacks,hollywood,black women in hollywood,women
blackwomenslivesmatter,Y,Blacks,,black womens lives matter,lives
bloggers4amazon,Y,blog,,bloggers 4 amazon,bloggers
breakfastofchampions,Y,breakfast of champions,,breakfast of champions,breakfast
breakupin4words,Y,breakup,,break up in 4 words,break
breakupin5words,Y,breakup,,break up in 5 words,break
bringbackourchildhood,Y,Childhood,,bring back our childhood,bring
britainsbrighteststreet,Y,britain,,britains brightest street,britains
britawardshttptcoynafbk6ajc,N,,,brit awards httptcoynafbk6ajc,brit
brokerbusinesstips,Y,business,,broker business tips,broker
businessvideos,Y,business,,business videos,videos
buyproblemonitunes,N,,,buy problem on itunes,buy
capbigideas,N,,,cap big ideas,cap
cartoonsarenottheproblemits,N,,,cartoons are not the problem its,its
celebrityawards2015,Y,awards,,celebrity awards 2015,awards
childhoodfears,Y,Childhood,,childhood fears,fears
childhoodmememories,Y,childhood,,childhood me memories,childhood
childhoodmemories,Y,childhood,memories,childhood memories,memories
childhoodtvprogrammes,Y,Childhood,,childhood tv programmes,programmes
childrenstories,Y,children,stories,children stories,children
chillsnotskills,N,,,chills not skills,chills
christmasgiftideas,Y,christmas,gift ideas,christmas gift ideas,christmas
cincyproblems,N,,,cincy problems,problems
coachingtips,Y,Coaching tips,,coaching tips,tips
cocmoments101,N,,,cocmoments101,cocmoments101
collegeapocalypse,Y,college,,college apocalypse,apocalypse
collegeinfivewords,Y,College,,college in five words,college
collegerules,Y,college,,college rules,rules
coloradoartprojectnews,Y,colorado art,project news,colorado art project news,news
commonannoyingbios,Y,Annoy,,common annoying bios,bios
complimentyourselfin4words,Y,compliment,,compliment yourself in 4 words,compliment
conferenceofchampions,Y,champions,,conference of champions,conference
confessionstour,N,,,confessions tour,tour
conservativebandnames,Y,bands,,conservative band names,names
creepychildrenstoys,Y,children,,creepy childrens toys,toys
crimeofthecentury,Y,crime,,crime of the century,crime
criminalsminds,Y,Criminals,,criminals minds,minds
criminalsneed,Y,criminals,,criminals need,need
criminalstories,Y,criminals,stories,criminal stories,stories
culturematters,Y,culture,,culture matters,matters
cupodcasttopics,N,,,cu podcast topics,topics
cutestcouple2015,Y,cute couple,,cutest couple 2015,cutest
dadliferules,Y,dad,,dad life rules,rules
dailythoughtsin4words,Y,daily thoughts,,daily thoughts in4 words,thoughts
datingrules,Y,Dating,,dating rules,dating
datingtruths,Y,dating,truths,dating truths,dating
depressing80sfilms,Y,80s,,depressing 80s films,depressing
describethe90sin4words,Y,,,describe the 90sin4 words,describe
diamondsofbangalore,Y,bangalore,,diamonds of bangalore,diamonds
dinnerin5words,Y,Dinner,,dinner in 5 words,dinner
dinnerplans,Y,dinner,Plans,dinner plans,plans
ditchyourdatein5words,Y,dating,,ditch your date in5 words,ditch
dpic50facts,N,,,dpic50 facts,facts
dpk1012,N,,,dpk1012,dpk1012
dream101,N,,,dream 101,dream
dumbcriminals,Y,criminals,,dumb criminals,criminals
efedadvice,N,,,e fed advice,advice
emmyawardwinning,N,,,emmy award winning,emmy
endofthewordconfessions,Y,Confessions,,end of the word confessions,end
epicshot,N,,,epic shot,shot
epicsundays,N,,,epic sundays,sundays
episodepicsbyrtw,N,,,episode pics by rtw,pics
essureoproblems,N,,,es sure o problems,es
everydaylifeinafghanistan,Y,afghanistan,life,everyday life in afghanistan,life
excusesforthecrimein5words,Y,criminals,excuses,excuses for the crime in 5 words,excuses
exois1010,N,,,exois1010,exois1010
explainthe90sin4words,Y,90s,,explain the 90sin4 words,explain
facebookpictures,N,,,facebook pictures,pictures
factsb,N,,,facts b,facts
factsdontlie,N,,,facts dont lie,lie
factssssss,N,,,facts ssss s,ssss
faithfulblackwomenoftwitter,Y,blacks,twitter,faithful black women of twitter,women
favequotes,N,,,fave quotes,quotes
favoritebrothersmoment,Y,brother,,favorite brothers moment,brothers
favoritefemaleartist,Y,artist,,favorite female artist,artist
favouritechildhoodbook,Y,childhood,,favourite childhood book,book
fergusontaughtme,N,,,ferguson taught me,taught
fightsofthecentury,Y,Century,,fights of the century,fights
fivewordstogetadate,Y,Dating,,five words to get a date,words
fivewordstomakeadatebetter,Y,Dating,,five words to make a date better,words
fivewordstoruinadate,Y,dating,,five words to ruin a date,words
fivewordstoruinadatei,Y,Dating,,five words to ruin a date i,words
fivewordstoruinadatewithafarmer,Y,dating,,five words to ruin a date with a farmer,words
fivewordstoruinaustraliaday,Y,australia,,five words to ruin australia day,words
flawlesslybeautifulcriminals,Y,Criminals,,flawlessly beautiful criminals,flawlessly
flyyourideas,N,,,fly your ideas,fly
fourwordstoruinadate,Y,dating,,four words to ruin a date,words
freepictures,N,,,free pictures,pictures
fromideastoaction,N,,,from ideas to action,ideas
fundskmthpeshawardonate,N,,,funds km th peshawar donate,km
g101,N,,,g101,g101
gambianoproblem,N,,,gambia no problem,gambia
geriatricbackpackertips,Y,Backpacking tips,,geriatric backpacker tips,tips
getonpwtips,N,,,get on pw tips,get
gimme5confessions,N,,,gimme5 confessions,confessions
glaadawardshttptcoa7tnpxwe2s,N,,,glaad awards httptcoa7tnpxwe2s,glaad
godschristianwarriors,Y,christian,,gods christian warriors,warriors
goldenglobeawards2015,Y,awards,golden globe,golden globe awards 2015,awards
goodadvicein4words,Y,Advice,,good advice in4 words,words
goodboyfriendsbelike,Y,boyfriend,,good boyfriends be like,boyfriends
goodcopstories,Y,stories,,good cop stories,stories
goodreviews,N,,,good reviews,reviews
gotproblems,N,,,got problems,got
gucci1017,N,,,gucci1017,gucci1017
happy500kbobongquotes,N,,,happy 500kbobong quotes,quotes
happybirthdayharrystyles,Y,birthday,,happy birthday harry styles,styles
hardcorecapitalist2016,Y,capitalist,,hardcore capitalist 2016,hardcore
harrywemissedtheyellowswimtrunkspics,N,,,harry we missed the yellow swim trunks pics,harry
hearhollywoodawards,Y,awards,,hear hollywood awards,hear
henryadvice,N,,,henry advice,advice
hintsampamptips,N,,,hints amp amp tips,tips
hollywoodmusicawardsjustin,N,,,hollywood music awards justin,awards
hot1015,N,,,hot1015,hot1015
hot1015app,N,,,hot1015app,hot1015app
hottestcollegeinamerica,Y,college,,hottest college in america,hottest
howitfeelstobeablackgirl,Y,blacks,women,how it feels to be a black girl,feels
howtoannoythecampanologists,Y,annoy,,how to annoy the camp a nolo gists,annoy
howtoannoyyourchef,Y,annoy,,how to annoy your chef,annoy
howtoappreciateyourself,Y,Appreciation,,how to appreciate yourself,appreciate
howtoaskagirltohomecoming,Y,dating,,how to ask a girl to homecoming,ask
howtoaskagirltoprom,Y,dating,prom,how to ask a girl to prom,ask
howtoattractunwantedattention,Y,attract attention,,how to attract unwanted attention,attract
howtobreakupwithsomeone,Y,breakup,,how to break up with someone,break
howtobuytips,Y,Buying tips,,how to buy tips,buy
howtoflirtwithanative,Y,dating,,how to flirt with a native,flirt
howtogetagirl,Y,dating,,how to get a girl,get
hwy101,N,,,hwy101,hwy101
ideasarebulletproof,N,,,ideas are bulletproof,bulletproof
ideasconnected,N,,,ideas connected,connected
ideasofthebrave,N,,,ideas of the brave,ideas
ifiwereinaband,Y,bands,,if i were in a band,band
ifthe80sneverstopped,Y,80s,,if the 80s never stopped,stopped
ifweredating,Y,dating,,if were dating,dating
ifyoureblackyouknow,Y,Blacks,,if youre black you know,know
iheartawardhttp,N,,,i heart award http,i
iheartawardscalum,N,,,i heart awards calum,i
imagenawards30,N,,,image nawards30,image
immaturebandnames,Y,bands,,immature band names,names
innocentcriminals,Y,criminals,,innocent criminals,criminals
insightsthinking,N,,,insights thinking,thinking
irishproblemsnight,N,,,irish problems night,irish
itsonly1shesaproblem,N,,,its only 1shes a problem,1shes
ivolunteerawards,N,,,i volunteer awards,awards
jadineonmyxmusicawardshashtag,N,,,jadi neon myx music awards hash tag,myx
jam101,N,,,jam101,jam101
janusawards20th,N,,,janus awards 20th,janus
justsrhsthings,N,,,just s rhs things,s
kanginfacts,N,,,kang in facts,kang
kathnielatguillermoawards4,N,,,kath niel at guillermo awards 4,kath
kc101harmonizers,N,,,kc101 harmonizer s,s
kidssaythedarndestthings,Y,children,,kids say the darndest things,say
kinglosquotes,N,,,king los quotes,quotes
lallaward,N,,,l all award,l
lastlinesfromgreatbooks,Y,books,,last lines from great books,lines
lastminutebirthdayideas,Y,birthday,Gift Ideas,last minute birthday ideas,ideas
leastknownacademyawards,Y,Awards,,least known academy awards,known
letstalkfacts,N,,,letstalk facts,facts
liberaltips2avoidrape,Y,avoid rape,,liberal tips2 avoid rape,avoid
lifeinpictures,N,,,life in pictures,life
losbritawardspora7,N,,,losbritawardspora7,losbritawardspora7
madeupfacts,N,,,made up facts,made
makeakidshowserious,Y,children,,make a kids how serious,make
makeamericagreatagain,Y,america,,make america great again,make
makingaustraliagreat,Y,australia,,making australia great,making
mar15previews,N,,,mar15p reviews,reviews
mattfacts,N,,,matt facts,facts
mexicanproblemshttpstcohyymkp1wfg,N,,,mexican problems httpstcohyymkp1wfg,problems
miproblemaeshannibalcarter,N,,,mi problem aes hannibal carter,aes
mispelled80sbandnames,Y,bands,,mispelled 80sb and names,mispelled
missuniversecanada,Y,canada,,miss universe canada,miss
moggyadvice,N,,,moggy advice,advice
montanastateconfessions,N,,,montana state confessions,confessions
mostoverratedclothingbrands,Y,brands,,most overrated clothing brands,overrated
mperks,N,,,m perks,perks
msgdoing111welfareworks101,N,,,msg doing 111welfareworks101,msg
msgno1inblooddonation,Y,Blood Donation,,msgno1 in blood donation,msgno1
msgreviewsan,N,,,msg reviews an,msg
mtn180tips,N,,,mtn180tips,mtn180tips
myboyfriendisnotallowedto,Y,boyfriend,,my boyfriend is not allowed to,allowed
myfavorite90scartoon,Y,90s,cartoon,my favorite 90s cartoon,90s
mytop20bands,Y,bands,,mytop20 bands,bands
nationalbreakfastweek,Y,Breakfast,,national breakfast week,week
newpictures,N,,,new pictures,pictures
newpointlessblogvideo,Y,blog,video,new pointless blog video,pointless
notavolleyballproblem,N,,,not a volleyball problem,not
notetomyex,Y,Dating,Reationship,note to my ex,note
notreallyaproblem,N,,,not really a problem,not
nurkompictureshttps,N,,,nur kom pictures https,https
officialshesaproblem,N,,,official shes a problem,shes
ohtheplaceswecouldgo,Y,Best Places,,oh the places we could go,oh
onlinedatingtruths,Y,Dating,,online dating truths,truths
onlyblacklivesmatter,Y,Blacks,,only black lives matter,lives
oyonextbigideas,N,,,oyo next big ideas,oyo
p101,N,,,p101,p101
pappystips,N,,,pappy s tips,s
pattherocskillsacademy,N,,,pat the roc skills academy,pat
picscomingsoon,N,,,pics coming soon,pics
picsforravepixx,N,,,pics for rave pixx,pics
placestobe,N,,,places to be,be
pleaseyourdatein4words,Y,dating,,please your date in4 words,please
pointlessblog4msubscribers,Y,blog,,pointless blog 4m subscribers,pointless
pointlessblogsbestmoments,Y,blog,,pointless blogs best moments,blogs
popularinthe90s,Y,90s,,popular in the 90s,popular
preachersofdetroit,Y,detroit,,preachers of detroit,preachers
prevalentinebreakuplines,Y,breakup,valentine,pre valentine break up lines,break
princessofcambridge,Y,Cambridge,,princess of cambridge,princess
problema,N,,,problema,problema
problemarambutbasah,N,,,problem aram but basah,aram
problemsolve,N,,,problem solve,problem
rainfahriatsctvawards,N,,,rain fahr i atsc tv awards,fahr
reasonstobeatyourgirlfriend,N,,,reasons to be at your girlfriend,girlfriend
reasonstobecheerful,Y,cheerful,,reasons to be cheerful,cheerful
reasonswhyimstillinyourlife,N,,,reasons why im still in your life,reasons
reasonswhypeoplebreakup,Y,breakup,,reasons why people break up,reasons
reasonswhypeoplechange,Y,change,,reasons why people change,reasons
reasonswhywelove1d,N,,,reasons why we love 1d,reasons
reasontoshipstelena,N,,,reason to ship st elena,reason
reclaimthefacts,N,,,reclaim the facts,reclaim
relax1013,N,,,relax1013,relax1013
republicanshateamerica,Y,America,,republicans hate america,hate
ruinadateinfivewords,Y,dating,,ruin a date in five words,ruin
ruinadatewithanacademicinfivewords,Y,dating,,ruin a date with an academic in five words,ruin
rulesinablackhouse,Y,Blacks,,rules in a black house,rules
rulesofattraction,Y,rules,,rules of attraction,rules
rulesofbusiness,Y,business,,rules of business,rules
ryersonproblems,N,,,ryerson problems,problems
scaremeshitlessawards2014,N,,,scare me shitless awards 2014,scare
sendpics,N,,,send pics,send
sevtalk101,N,,,sevtalk101,sevtalk101
shappsfacts,N,,,sh apps facts,sh
shareyourinsights,N,,,share your insights,share
shit101,N,,,shit101,shit101
shotpictures,N,,,shot pictures,pictures
skillsconf15,N,,,skills conf15,conf15
skillsoft,N,,,skillsoft,skillsoft
skillspaybills,N,,,skills pay bills,pay
skillstraining,N,,,skills training,skills
smoothsongfacts,N,,,smooth songfacts,songfacts
sofskills,N,,,s of skills,s
spacepioneerawardseehttptcoqkvlwb21vv,N,,,space pioneer awards eehttptcoqkvlwb21vv,eehttptcoqkvlwb21vv
spoiledproblems,N,,,spoiled problems,problems
stanproblems,N,,,stan problems,problems
stomptheyardatl41015708,N,,,stomp the yardatl41015708,stomp
strugglesofbeingcanadian,Y,canada,,struggles of being canadian,struggles
styleadviceinfivewords,Y,advice,,style advice in five words,advice
tdm101best,N,,,tdm101 best,tdm101
teenagememories,Y,childhood,,teenage memories,memories
teenchoiceawards2015,Y,awards,,teen choice awards 2015,awards
tendoesawardseason,N,,,ten does award season,does
terriblecustomerservice,Y,Customer Service,,terrible customer service,service
thatsfacts,N,,,thats facts,facts
thatswhatmakeslukebeautiful,Y,Beautiful,,thats what makes luke beautiful,luke
thatswhywebrokeup,Y,breakup,,thats why we broke up,thats
thebandthatlostthexfactorbutwontheworld,Y,bands,,the band that lost the xfactor but won the world,band
thebestcureforboredomis,Y,boredom,,the best cure for boredom is,is
Thebestmanintheworld,Y,best man,,the best man in the world,man
thebestplacestovisit,Y,Best Places,,the best places to visit,places
Thebestthingever,Y,best things,,the best thing ever,thing
Theblacklistrocks,Y,Blacklist,,the blacklist rocks,blacklist
Thedaysofchildhood,Y,childhood,,the days of childhood,days
TheLiesOfTheCivilRightsMovemrnt,Y,civil rights movement,,the lies of the civil rights move mr nt,mr
ThemostbeautifulPrince,Y,beautiful prince,,the most beautiful prince,prince
thestruggleofahighnigga,Y,blacks,,the struggle of a high nigga,struggle
thesturgglesofahighnigga,Y,blacks,,the stu rgg les of a high nigga,rgg
TheWorldsSafestAirline,Y,airlines,,the worlds safest airline,worlds
TheWorstChristianBooksIOwn,Y,Books,,the worst christian books i own,books
TheWorstCommentatorEVER,Y,commentator,,the worst commentator ever,commentator
TheWorstConversationStarter,Y,Conversation,,the worst conversation starter,conversation
TheYoungCreativeAwards,Y,creative awards,,the young creative awards,awards
thingsidratherdothanrevisethisweekendface,N,,,things id rather dothan revise this weekend face,id
thingsiregretis,N,,,things i regret is,is
thingsiwillneverunderstand,N,,,things i will never understand,understand
thingsiwonder,N,,,things i wonder,things
thingsmorelikelythanliverpoolwinningthefacuphagrid,N,,,things more likely than liverpool winning the fac up hagrid,likely
thingsmorelikelythanliverpoolwinningthefacupme,N,,,things more likely than liverpool winning the fac up me,likely
thingsmydadwillsayme,N,,,things my dad will say me,things
thingsmyhusbandsays,N,,,things my husband says,things
thingsneversaid,N,,,things never said,said
thingsonhowardshead,N,,,things on howards head,things
thingsphilbroughtdown,N,,,things phil brought down,brought
thingssomepeopledonthave,N,,,things some people dont have,things
thingsthatannoyme,Y,annoy,,things that annoy me,things
thingstodobeforeidiemeet,N,,,things to do before i die meet,die
thingsyoucantunsee,N,,,things you can tun see,things
thisiswhypeoplebuyonline,Y,buy online,,this is why people buy online,is
thisiswhypeoplecheat,Y,cheat,,this is why people cheat,is
thisiswhypeoplehateamerica,Y,america,,this is why people hate america,is
tiffanyscutestdogintheworld,N,,,tiffanys cutest dog in the world,tiffanys
tips100,N,,,tips100,tips100
tips10499end,N,,,tips10499end,tips10499end
tips120,N,,,tips120,tips120
tips149,N,,,tips149,tips149
tips16999end,N,,,tips16999end,tips16999end
tips18000end,N,,,tips18000end,tips18000end
tips199,N,,,tips199,tips199
tips20900end,N,,,tips20900end,tips20900end
tips24900,N,,,tips24900,tips24900
tips26000end,N,,,tips26000end,tips26000end
tips30000,N,,,tips30000,tips30000
tips30000end,N,,,tips30000end,tips30000end
tips35000,N,,,tips35000,tips35000
tips45000end,N,,,tips45000end,tips45000end
tips49900end,N,,,tips49900end,tips49900end
tips500,N,,,tips500,tips500
tips5154end,N,,,tips5154end,tips5154end
tips53,N,,,tips53,tips53
tips5300,N,,,tips5300,tips5300
tips5440end,N,,,tips5440end,tips5440end
tips5487end,N,,,tips5487end,tips5487end
tips57,N,,,tips57,tips57
tips5700,N,,,tips5700,tips5700
tips58999end,N,,,tips58999end,tips58999end
tips62,N,,,tips62,tips62
tips64,N,,,tips64,tips64
tips650,N,,,tips650,tips650
tips6600end,N,,,tips6600end,tips6600end
tips7250end,N,,,tips7250end,tips7250end
tips7399end,N,,,tips7399end,tips7399end
tips7400end,N,,,tips7400end,tips7400end
tips7495end,N,,,tips7495end,tips7495end
tips7500en,N,,,tips7500en,tips7500en
tips77,N,,,tips77,tips77
tips7799end,N,,,tips7799end,tips7799end
tips78,N,,,tips78,tips78
tips7899end,N,,,tips7899end,tips7899end
tips7995,N,,,tips7995,tips7995
tips8995,N,,,tips8995,tips8995
tips990,N,,,tips990,tips990
tipsampampstrategies,N,,,tips amp amp strategies,strategies
tipsarevic,N,,,tips are vic,vic
tipsdepediatria,N,,,tips de pediatria,pediatria
TipsForCollegeTuition,Y,College,,tips for college tuition,tips
tipshat,N,,,tips hat,hat
tipswithmatt,N,,,tips with matt,tips
tipsytuesdays,N,,,tipsy tuesdays,tuesdays
tipsytweets,N,,,tipsy tweet s,tweet
Top100digitalagencies,Y,Digital Agencies,,to p100 digital agencies,agencies
top10criminalsjust,Y,criminals,,to p10 criminals just,just
Top10LiesNiggasTell,Y,blacks,lies,to p10liesniggas tell,tell
Top10MostBeautifulBlondes,Y,Blondes,,to p10 most beautiful blondes,blondes
top3at5,N,,,to p3at5,p3at5
Top3FavoriteComics,Y,comics,,to p3 favorite comics,comics
top3videosleodavinci,N,,,to p3videosleo davinci,davinci
top40httptcoxenxuk1s5o,N,,,to p40httptcoxenxuk1s5o,p40httptcoxenxuk1s5o
Top5ArtistsILike,Y,artist,,to p5 artists i like,like
top5in,N,,,to p5in,p5in
top5s,N,,,to p5s,p5s
top9japartymix,N,,,to p9japartymix,p9japartymix
topelevenfreetokens,N,,,top eleven free tokens,eleven
toptenlist,N,,,top ten list,top
TruthsBlackPeopleHate,Y,blacks,truths,truths black people hate,hate
tuesdaytopics,N,,,tuesday topics,topics
tweetfourpictureswithoutlooking,N,,,tweet four pictures without looking,tweet
tweetyour2014royalspics,N,,,tweetyour2014 royals pics,pics
UgliestBuildingsEver,Y,Buildings,,ugliest buildings ever,ugliest
ugliesthotchickinAmerica,Y,America,,ugliest hot chick in america,ugliest
ujtips,N,,,uj tips,tips
universaltruthsofcycling,Y,cycling,truths,universal truths of cycling,truths
unpopular80sbands,Y,bands,,unpopular 80s bands,bands
unsolicitedadvicein5words,Y,advice,,unsolicited advice in5 words,words
usbloggerchat,Y,blog,,us blogger chat,blogger
valueofadvice,N,,,value of advice,value
vijayawardsfirstlook,N,,,vijay awards first look,awards
vote1dforhollywoodmusicawardsyou,N,,,vote1d for hollywood music awards you,vote1d
votewhatmakesyoubeatiful,Y,beautiful,,vote what makes you beatiful,vote
votewhatmakesyoubeautiful,Y,beautiful,,vote what makes you beautiful,vote
waystoconfuseachild,Y,children,,ways to confuse a child,confuse
waystogetaguy,Y,Dating,,ways to get a guy,get
waystogetleftonread,N,,,ways to get left on read,left
waystoimproveadate,Y,Dating,,ways to improve a date,improve
waystoIMPROVEadate,Y,Dating,,ways to improve a date,improve
waystomakememad,N,,,ways to make me mad,make
wecantdateif,Y,dating,,we cant date if,cant
weekinpics,N,,,week in pics,week
whatmakesbuckinghamspecial,Y,Buckingham,,what makes buckingham special,makes
whenyoureboredoversummer,Y,boredom,,when your e bored over summer,bored
whitepeopleconfessions,Y,Confessions,,white people confessions,people
whogoat101,N,,,whogoat101,whogoat101
whygirlshateguys,Y,Dating,,why girls hate guys,hate
whypeoplecheat,Y,cheat,,why people cheat,cheat
whypeopledie,Y,death,,why people die,die
whypeoplehateairlines,Y,airlines,,why people hate airlines,hate
whypeoplehatebanks,Y,Banks,,why people hate banks,hate
whywelovetheomahaboys,Y,Boys,,why we love the omaha boys,love
wildlifecriminals,Y,criminals,,wildlife criminals,criminals
winner10pics,N,,,winner 10pics,winner
winpollsgetperks,N,,,win polls get perks,win
wodawards2015,N,,,wodawards2015,wodawards2015
worldsangriestcricketet,Y,Cricket,,worlds angriest cricket et,et
worldsbestchancellor,Y,best chancellor,,worlds best chancellor,worlds
worldsbiggestapologymelissa,N,,,worlds biggest apology melissa,worlds
worldsbiggestbookclub,Y,book club,,worlds biggest book club,worlds
worldsBiggestBullies,Y,bullies,,worlds biggest bullies,bullies
worldsbiggestcompany,Y,company,,worlds biggest company,worlds
worldsdumbestcriminals,Y,criminals,,worlds dumbest criminals,worlds
worldsMostBoringStuff...,Y,boredom,,worlds most boring stuff,worlds
worldsworstcriminals,Y,criminals,,worlds worst criminals,worlds
worsecollegeclasses,Y,college,,worse college classes,classes
worstbossin5words,Y,Boss,,worst bossin5 words,worst
worstchildhoodrumors,Y,children,,worst childhood rumors,worst
worstcooksinamerica,Y,american cooks,,worst cooks in america,worst
worstcustomerservice,Y,customer service,,worst customer service,worst
worstdatein5words,Y,dating,,worst date in5 words,worst
worstdecisionever,Y,decision,,worst decision ever,worst
yesalsc101,N,,,yesalsc101,yesalsc101
youaremoreatractiveif,Y,attractive,,you are more atractive if,atractive
youaretheproblem,N,,,you are the problem,problem
youreattractiveif,Y,attractive,,your e attractive if,e
youremoreatractiveif,Y,attractive,,your e more atractive if,e
youremoreatrractiveif,Y,attractive,,your e more at rr active if,e
zaynatasianawards,N,,,zayn at asian awards,zayn
zaynmalikfacts,N,,,zayn malik facts,facts
zaynmalikquotes,N,,,zayn malik quotes,quotes
